Pos	P(stop)	P(match)	P(mismatch)	P(ins)]	P(del)
134	0.004440	0.973982	0.015257	0.005275	0.005486
135	0.004440	0.973298	0.016136	0.004959	0.005607
136	0.004447	0.974676	0.014603	0.005063	0.005657
137	0.004447	0.973640	0.015375	0.005228	0.005758
138	0.004447	0.972953	0.015764	0.005338	0.005945
139	0.004447	0.973248	0.015690	0.005332	0.005731
140	0.004447	0.974193	0.014724	0.005553	0.005530
141	0.004447	0.973727	0.015388	0.005389	0.005496
142	0.004447	0.973231	0.015214	0.005858	0.005697
143	0.004447	0.973996	0.015002	0.005526	0.005476
144	0.004447	0.974150	0.014835	0.005680	0.005335
145	0.004447	0.975330	0.013980	0.005392	0.005298
146	0.004447	0.974499	0.014573	0.005466	0.005462
147	0.004450	0.974227	0.014976	0.005499	0.005298
148	0.004450	0.973415	0.015170	0.005801	0.005613
149	0.004450	0.975089	0.013980	0.005566	0.005365
150	0.004453	0.975421	0.013735	0.005422	0.005422
151	0.004457	0.974840	0.014412	0.005573	0.005174
152	0.004457	0.974730	0.014473	0.005610	0.005188
153	0.004463	0.972647	0.016093	0.005469	0.005791
154	0.004463	0.974850	0.014030	0.005536	0.005583
155	0.004463	0.974404	0.014416	0.005627	0.005553
156	0.004467	0.974934	0.014322	0.005241	0.005503
157	0.004470	0.973643	0.015402	0.005345	0.005610
158	0.004470	0.973955	0.015023	0.005442	0.005580
159	0.004477	0.973995	0.015097	0.005385	0.005523
160	0.004477	0.974652	0.014409	0.005553	0.005385
161	0.004483	0.974042	0.014668	0.005422	0.005868
162	0.004487	0.974427	0.014456	0.005459	0.005657
163	0.004487	0.973468	0.015556	0.005449	0.005526
164	0.004487	0.974115	0.015265	0.005349	0.005272
165	0.004487	0.973327	0.015359	0.005939	0.005375
166	0.004487	0.974454	0.014319	0.005667	0.005560
167	0.004487	0.974025	0.014812	0.005359	0.005805
168	0.004490	0.973736	0.014835	0.005399	0.006029
169	0.004493	0.974071	0.014527	0.005563	0.005838
170	0.004500	0.974319	0.014383	0.005419	0.005879
171	0.004500	0.974987	0.013729	0.005345	0.005939
172	0.004500	0.973813	0.014842	0.005369	0.005976
173	0.004503	0.974178	0.014487	0.005409	0.005926
174	0.004503	0.974574	0.014101	0.005409	0.005915
175	0.004503	0.973441	0.014685	0.005832	0.006043
176	0.004503	0.973867	0.014648	0.005526	0.005959
177	0.004503	0.974859	0.014155	0.005496	0.005490
178	0.004507	0.973810	0.015040	0.005594	0.005557
179	0.004507	0.974748	0.013498	0.005872	0.005882
180	0.004510	0.974447	0.013608	0.005788	0.006157
181	0.004510	0.974390	0.013803	0.005825	0.005983
182	0.004510	0.973719	0.014635	0.005674	0.005973
183	0.004513	0.973048	0.014993	0.006090	0.005869
184	0.004520	0.973628	0.014407	0.005993	0.005973
185	0.004523	0.974745	0.013605	0.005865	0.005785
186	0.004523	0.974061	0.014011	0.005738	0.006191
187	0.004527	0.974101	0.014383	0.005563	0.005953
188	0.004527	0.973759	0.014893	0.005584	0.005765
189	0.004527	0.973095	0.015118	0.005845	0.005942
190	0.004530	0.973869	0.014799	0.005567	0.005765
191	0.004530	0.973755	0.015004	0.005517	0.005724
192	0.004530	0.974275	0.014437	0.005423	0.005865
193	0.004537	0.973430	0.015413	0.005376	0.005782
194	0.004537	0.972970	0.016107	0.005346	0.005577
195	0.004537	0.974959	0.014082	0.005346	0.005614
196	0.004537	0.974335	0.014756	0.005309	0.005600
197	0.004537	0.973691	0.015064	0.005393	0.005852
198	0.004537	0.972672	0.015896	0.005580	0.005852
199	0.004537	0.972397	0.016020	0.005859	0.005725
200	0.004537	0.974614	0.013823	0.005718	0.005845
201	0.004543	0.973507	0.015215	0.005419	0.005859
202	0.004543	0.974144	0.014343	0.005594	0.005919
203	0.004543	0.974211	0.014115	0.005714	0.005959
204	0.004547	0.974221	0.013991	0.005637	0.006150
205	0.004547	0.974456	0.013770	0.005755	0.006020
206	0.004550	0.973299	0.014836	0.005812	0.006053
207	0.004553	0.972859	0.015386	0.005748	0.006006
208	0.004553	0.973969	0.014021	0.005916	0.006094
209	0.004557	0.974154	0.013901	0.005751	0.006194
210	0.004557	0.974512	0.013716	0.005627	0.006144
211	0.004557	0.973909	0.014119	0.005859	0.006114
212	0.004557	0.973654	0.014162	0.005708	0.006476
213	0.004557	0.972856	0.014997	0.005963	0.006184
214	0.004564	0.973657	0.014287	0.006070	0.005986
215	0.004564	0.973580	0.014474	0.005866	0.006080
216	0.004570	0.973818	0.014263	0.005902	0.006016
217	0.004574	0.972580	0.015108	0.006080	0.006231
218	0.004577	0.971423	0.016457	0.005859	0.006261
219	0.004577	0.973784	0.013978	0.005943	0.006295
220	0.004577	0.973717	0.014337	0.005859	0.006087
221	0.004577	0.974388	0.013663	0.005695	0.006255
222	0.004580	0.973318	0.014488	0.005835	0.006359
223	0.004580	0.972516	0.015286	0.005899	0.006298
224	0.004584	0.973348	0.014377	0.005872	0.006402
225	0.004584	0.973563	0.014508	0.005926	0.006003
226	0.004584	0.973647	0.014458	0.005903	0.005993
227	0.004584	0.974129	0.014196	0.005799	0.005876
228	0.004584	0.973217	0.014582	0.006060	0.006141
229	0.004587	0.974247	0.013479	0.006218	0.006057
230	0.004587	0.974297	0.013546	0.006211	0.005946
231	0.004587	0.973636	0.014009	0.005976	0.006379
232	0.004587	0.973093	0.014156	0.006231	0.006520
233	0.004590	0.972845	0.014860	0.006097	0.006198
234	0.004590	0.973495	0.014465	0.006127	0.005913
235	0.004594	0.974320	0.013744	0.006047	0.005889
236	0.004594	0.973435	0.014612	0.005950	0.006003
237	0.004594	0.973606	0.014042	0.006127	0.006225
238	0.004604	0.972419	0.015099	0.006117	0.006365
239	0.004604	0.973304	0.014129	0.006352	0.006215
240	0.004607	0.972958	0.014643	0.006090	0.006308
241	0.004610	0.973720	0.014240	0.006104	0.005936
242	0.004614	0.972579	0.015069	0.006174	0.006178
243	0.004614	0.971248	0.015877	0.006416	0.006459
244	0.004617	0.972468	0.015055	0.006205	0.006272
245	0.004620	0.973005	0.014334	0.006195	0.006466
246	0.004620	0.972981	0.014284	0.006158	0.006577
247	0.004620	0.973646	0.013637	0.006319	0.006399
248	0.004620	0.972998	0.014572	0.006097	0.006332
249	0.004620	0.973609	0.013623	0.006356	0.006413
250	0.004627	0.973287	0.014073	0.006117	0.006523
251	0.004627	0.972327	0.014646	0.006396	0.006631
252	0.004630	0.972616	0.014683	0.006188	0.006513
253	0.004630	0.972995	0.014452	0.005973	0.006580
254	0.004634	0.973726	0.013650	0.006228	0.006396
255	0.004640	0.973256	0.013946	0.006470	0.006329
256	0.004644	0.973907	0.013550	0.006235	0.006309
257	0.004647	0.973071	0.014328	0.006027	0.006574
258	0.004647	0.972035	0.015150	0.006366	0.006450
259	0.004647	0.973108	0.014009	0.006144	0.006738
260	0.004654	0.972521	0.014563	0.006275	0.006641
261	0.004654	0.972286	0.014737	0.006151	0.006825
262	0.004654	0.973021	0.014144	0.006245	0.006591
263	0.004657	0.972622	0.014905	0.006044	0.006430
264	0.004657	0.972726	0.014439	0.006108	0.006728
265	0.004657	0.972457	0.014623	0.006248	0.006671
266	0.004657	0.973591	0.013698	0.006299	0.006413
267	0.004657	0.972893	0.014630	0.006034	0.006443
268	0.004657	0.972571	0.014811	0.006238	0.006379
269	0.004657	0.973162	0.014238	0.006124	0.006476
270	0.004657	0.973430	0.013842	0.006131	0.006597
271	0.004657	0.973611	0.013627	0.006228	0.006534
272	0.004664	0.973651	0.013594	0.006319	0.006436
273	0.004664	0.972836	0.014409	0.006305	0.006450
274	0.004664	0.973839	0.013647	0.006198	0.006316
275	0.004664	0.973695	0.013798	0.006051	0.006456
276	0.004667	0.974050	0.013268	0.006228	0.006453
277	0.004667	0.972477	0.014620	0.006426	0.006477
278	0.004667	0.973155	0.014234	0.006091	0.006520
279	0.004670	0.972682	0.014533	0.006057	0.006728
280	0.004670	0.972957	0.014278	0.006218	0.006547
281	0.004670	0.972202	0.015133	0.006185	0.006480
282	0.004670	0.973158	0.014305	0.006222	0.006316
283	0.004677	0.971702	0.015687	0.006168	0.006443
284	0.004680	0.973738	0.013403	0.006477	0.006383
285	0.004684	0.973204	0.013953	0.006534	0.006309
286	0.004687	0.972788	0.014567	0.006389	0.006255
287	0.004690	0.972151	0.015291	0.006326	0.006232
288	0.004697	0.972812	0.014798	0.006125	0.006265
289	0.004697	0.973576	0.013681	0.006430	0.006312
290	0.004697	0.973358	0.013832	0.006329	0.006480
291	0.004697	0.973194	0.014574	0.005994	0.006239
292	0.004704	0.972771	0.014486	0.006198	0.006544
293	0.004704	0.972946	0.014232	0.006242	0.006581
294	0.004704	0.973774	0.013343	0.006182	0.006702
295	0.004704	0.973036	0.013802	0.006380	0.006782
296	0.004704	0.972161	0.014782	0.006316	0.006742
297	0.004707	0.972573	0.014268	0.006433	0.006725
298	0.004707	0.972956	0.014054	0.006239	0.006752
299	0.004710	0.972862	0.013829	0.006671	0.006638
300	0.004710	0.973264	0.013185	0.006715	0.006836
301	0.004710	0.972865	0.013393	0.007081	0.006661
302	0.004710	0.971859	0.014688	0.006809	0.006645
303	0.004710	0.971607	0.014805	0.006889	0.006698
304	0.004710	0.972711	0.014034	0.006611	0.006645
305	0.004710	0.973147	0.013353	0.006447	0.007054
306	0.004710	0.972419	0.014081	0.006584	0.006916
307	0.004710	0.973073	0.013873	0.006490	0.006564
308	0.004710	0.973281	0.013376	0.006561	0.006782
309	0.004710	0.973127	0.013309	0.006816	0.006749
310	0.004710	0.972627	0.013893	0.006634	0.006846
311	0.004717	0.973448	0.013303	0.006621	0.006628
312	0.004717	0.972905	0.013883	0.006641	0.006571
313	0.004717	0.972737	0.013926	0.006447	0.006889
314	0.004720	0.973700	0.013363	0.006487	0.006450
315	0.004724	0.971560	0.015329	0.006480	0.006631
316	0.004730	0.973009	0.013420	0.006957	0.006614
317	0.004734	0.972137	0.014198	0.006933	0.006732
318	0.004734	0.972318	0.013840	0.007044	0.006799
319	0.004734	0.971056	0.015215	0.006957	0.006772
320	0.004737	0.970533	0.015772	0.006913	0.006782
321	0.004740	0.972180	0.014319	0.006863	0.006638
322	0.004744	0.972176	0.014101	0.006739	0.006984
323	0.004744	0.972237	0.014058	0.006709	0.006997
324	0.004747	0.971737	0.014454	0.006957	0.006853
325	0.004750	0.972247	0.014507	0.006457	0.006789
326	0.004750	0.972200	0.014363	0.006715	0.006722
327	0.004754	0.971821	0.014685	0.006605	0.006890
328	0.004754	0.971586	0.014712	0.006927	0.006776
329	0.004754	0.973149	0.013447	0.006675	0.006729
330	0.004754	0.973367	0.013397	0.006541	0.006695
331	0.004757	0.972807	0.013320	0.006903	0.006970
332	0.004760	0.972428	0.014162	0.006648	0.006762
333	0.004760	0.971612	0.014481	0.006799	0.007108
334	0.004760	0.972213	0.014132	0.006662	0.006994
335	0.004760	0.970586	0.015715	0.006823	0.006876
336	0.004760	0.972827	0.013635	0.006789	0.006749
337	0.004760	0.972038	0.014561	0.006873	0.006527
338	0.004760	0.970965	0.015675	0.006782	0.006578
339	0.004760	0.972122	0.014340	0.006752	0.006786
340	0.004760	0.972736	0.013904	0.006688	0.006672
341	0.004760	0.972743	0.014313	0.006417	0.006527
342	0.004767	0.973310	0.013709	0.006561	0.006420
343	0.004767	0.972454	0.014232	0.006471	0.006843
344	0.004770	0.973397	0.013256	0.006491	0.006856
345	0.004770	0.973678	0.013032	0.006414	0.006876
346	0.004770	0.973571	0.013126	0.006524	0.006779
347	0.004774	0.972374	0.014078	0.006816	0.006732
348	0.004774	0.972930	0.013659	0.006544	0.006866
349	0.004777	0.971914	0.014239	0.006957	0.006890
350	0.004777	0.972883	0.013565	0.006648	0.006903
351	0.004777	0.973024	0.013511	0.006668	0.006796
352	0.004781	0.972055	0.014249	0.006809	0.006887
353	0.004784	0.973507	0.012877	0.006669	0.006947
354	0.004787	0.972024	0.014203	0.006762	0.007011
355	0.004787	0.973037	0.013203	0.006776	0.006984
356	0.004787	0.971618	0.014508	0.006960	0.006913
357	0.004787	0.972440	0.013901	0.006907	0.006752
358	0.004787	0.971571	0.014414	0.007038	0.006977
359	0.004791	0.971971	0.013864	0.006954	0.007212
360	0.004791	0.972769	0.013089	0.007038	0.007105
361	0.004794	0.973121	0.013159	0.006672	0.007048
362	0.004797	0.972091	0.013659	0.006907	0.007343
363	0.004797	0.972162	0.013978	0.006836	0.007024
364	0.004797	0.971360	0.015008	0.006766	0.006867
365	0.004797	0.972873	0.013585	0.006786	0.006756
366	0.004804	0.971564	0.014736	0.006971	0.006729
367	0.004804	0.972584	0.013975	0.006793	0.006649
368	0.004804	0.972457	0.014085	0.006628	0.006830
369	0.004804	0.972379	0.014028	0.006605	0.006987
370	0.004807	0.972799	0.013726	0.006568	0.006907
371	0.004807	0.972460	0.013998	0.006699	0.006843
372	0.004807	0.972124	0.014273	0.006592	0.007011
373	0.004811	0.971437	0.015115	0.006602	0.006846
374	0.004814	0.972064	0.014481	0.006682	0.006773
375	0.004817	0.972560	0.014002	0.006736	0.006702
376	0.004821	0.972389	0.013901	0.006857	0.006853
377	0.004821	0.970155	0.016068	0.007018	0.006759
378	0.004821	0.972486	0.013857	0.006914	0.006743
379	0.004824	0.971916	0.014508	0.006719	0.006857
380	0.004827	0.972070	0.014163	0.006645	0.007122
381	0.004834	0.973781	0.012865	0.006545	0.006810
382	0.004837	0.973388	0.013301	0.006578	0.006733
383	0.004841	0.972704	0.013670	0.006615	0.007011
384	0.004844	0.973059	0.013398	0.006649	0.006894
385	0.004844	0.971385	0.014921	0.006719	0.006974
386	0.004844	0.973341	0.012925	0.007011	0.006723
387	0.004851	0.972794	0.013784	0.006612	0.006810
388	0.004851	0.973015	0.013831	0.006548	0.006605
389	0.004851	0.973270	0.013100	0.006733	0.006897
390	0.004854	0.972817	0.013613	0.006793	0.006776
391	0.004854	0.972908	0.013714	0.006853	0.006525
392	0.004857	0.970721	0.015680	0.006864	0.006736
393	0.004861	0.972713	0.013637	0.006907	0.006743
394	0.004864	0.972589	0.013697	0.007008	0.006706
395	0.004864	0.972891	0.013717	0.006605	0.006786
396	0.004867	0.972529	0.013791	0.006753	0.006927
397	0.004867	0.972257	0.013935	0.006937	0.006870
398	0.004874	0.972867	0.013593	0.006820	0.006719
399	0.004874	0.972434	0.013734	0.006897	0.006934
400	0.004874	0.972981	0.013399	0.006834	0.006787
401	0.004877	0.972267	0.013741	0.007021	0.006971
402	0.004877	0.972488	0.013610	0.007018	0.006884
403	0.004877	0.972548	0.013469	0.006981	0.007001
404	0.004877	0.972267	0.013949	0.006877	0.006907
405	0.004877	0.972455	0.013456	0.007149	0.006941
406	0.004877	0.972263	0.014093	0.006850	0.006793
407	0.004884	0.972619	0.013422	0.006938	0.007021
408	0.004887	0.971887	0.013959	0.007042	0.007112
409	0.004887	0.972250	0.013244	0.007176	0.007330
410	0.004887	0.972682	0.013345	0.006844	0.007129
411	0.004897	0.972263	0.013805	0.007001	0.006931
412	0.004897	0.972162	0.013973	0.006850	0.007015
413	0.004901	0.971689	0.014140	0.007179	0.006991
414	0.004907	0.971964	0.013996	0.006861	0.007179
415	0.004907	0.973225	0.012473	0.007012	0.007290
416	0.004907	0.971652	0.013969	0.007045	0.007334
417	0.004907	0.971145	0.014526	0.006995	0.007334
418	0.004907	0.970206	0.015593	0.006904	0.007297
419	0.004907	0.971823	0.014466	0.006696	0.007015
420	0.004907	0.972155	0.014167	0.006770	0.006908
421	0.004911	0.972410	0.013701	0.007018	0.006871
422	0.004911	0.972470	0.013621	0.006844	0.007065
423	0.004911	0.972380	0.013617	0.006857	0.007146
424	0.004917	0.971823	0.014238	0.006884	0.007055
425	0.004917	0.973124	0.013218	0.006773	0.006884
426	0.004921	0.972655	0.013939	0.006720	0.006686
427	0.004921	0.972946	0.013369	0.006918	0.006767
428	0.004921	0.973118	0.013195	0.006918	0.006770
429	0.004924	0.973326	0.013198	0.007079	0.006398
430	0.004924	0.973483	0.012930	0.006847	0.006740
431	0.004924	0.972826	0.013574	0.006716	0.006884
432	0.004927	0.972436	0.013849	0.006747	0.006968
433	0.004927	0.972282	0.014292	0.006659	0.006767
434	0.004927	0.973091	0.013336	0.006844	0.006730
435	0.004927	0.973745	0.012869	0.006710	0.006676
436	0.004931	0.973064	0.013178	0.006814	0.006945
437	0.004931	0.972436	0.014201	0.006488	0.006874
438	0.004931	0.972406	0.014258	0.006626	0.006710
439	0.004937	0.973322	0.013359	0.006649	0.006670
440	0.004937	0.973634	0.013128	0.006525	0.006713
441	0.004941	0.973536	0.013339	0.006539	0.006586
442	0.004941	0.973318	0.013557	0.006579	0.006545
443	0.004947	0.973251	0.013125	0.006817	0.006807
444	0.004951	0.972879	0.013410	0.006777	0.006935
445	0.004951	0.972382	0.013765	0.006861	0.006992
446	0.004951	0.972278	0.013846	0.006931	0.006945
447	0.004951	0.973174	0.013326	0.006592	0.006908
448	0.004954	0.973123	0.013366	0.006871	0.006639
449	0.004954	0.972912	0.013614	0.006690	0.006784
450	0.004957	0.972781	0.013339	0.006811	0.007069
451	0.004957	0.972254	0.013645	0.006998	0.007102
452	0.004961	0.973224	0.013111	0.006703	0.006962
453	0.004961	0.972415	0.013792	0.006784	0.007009
454	0.004961	0.972019	0.014067	0.006884	0.007029
455	0.004967	0.972415	0.013964	0.006613	0.007009
456	0.004971	0.972251	0.014004	0.006895	0.006851
457	0.004971	0.972160	0.013786	0.006787	0.007267
458	0.004977	0.973126	0.012920	0.006727	0.007227
459	0.004977	0.972304	0.013608	0.006992	0.007096
460	0.004981	0.972036	0.013913	0.007022	0.007029
461	0.004981	0.972324	0.013383	0.007257	0.007036
462	0.004981	0.971938	0.013819	0.007180	0.007062
463	0.004981	0.972009	0.013715	0.007230	0.007046
464	0.004987	0.972703	0.013591	0.006821	0.006885
465	0.004987	0.972522	0.013964	0.006764	0.006750
466	0.004991	0.973391	0.013122	0.006747	0.006740
467	0.004994	0.972297	0.013927	0.006938	0.006838
468	0.004994	0.973072	0.012951	0.006895	0.007083
469	0.004994	0.972794	0.012900	0.007079	0.007227
470	0.004994	0.972679	0.012971	0.007113	0.007237
471	0.004997	0.972062	0.013726	0.007096	0.007116
472	0.005001	0.972790	0.013041	0.006948	0.007220
473	0.005011	0.971974	0.013521	0.007153	0.007351
474	0.005011	0.972156	0.013390	0.006995	0.007459
475	0.005011	0.972042	0.013535	0.007230	0.007193
476	0.005011	0.972639	0.013236	0.006982	0.007143
477	0.005011	0.972317	0.013350	0.007173	0.007160
478	0.005024	0.970676	0.014994	0.007210	0.007120
479	0.005031	0.972101	0.013287	0.007422	0.007190
480	0.005031	0.972457	0.013246	0.007261	0.007036
481	0.005034	0.972849	0.012834	0.007304	0.007012
482	0.005034	0.972326	0.013542	0.007063	0.007069
483	0.005034	0.972034	0.013746	0.007217	0.007002
484	0.005041	0.971940	0.013894	0.007143	0.007023
485	0.005041	0.973020	0.013069	0.007090	0.006821
486	0.005041	0.972286	0.013518	0.007288	0.006908
487	0.005041	0.972708	0.013317	0.007083	0.006892
488	0.005044	0.971843	0.014042	0.007127	0.006989
489	0.005048	0.970916	0.014686	0.007311	0.007086
490	0.005048	0.972614	0.013029	0.007358	0.006999
491	0.005048	0.972104	0.013643	0.007268	0.006986
492	0.005048	0.971782	0.013941	0.007308	0.006969
493	0.005051	0.971285	0.014320	0.007382	0.007013
494	0.005051	0.970994	0.014720	0.007274	0.007013
495	0.005054	0.971883	0.013787	0.007268	0.007063
496	0.005054	0.972074	0.013250	0.007546	0.007130
497	0.005058	0.972111	0.013861	0.007060	0.006969
498	0.005058	0.971956	0.013713	0.007147	0.007184
499	0.005058	0.972312	0.013079	0.007358	0.007251
500	0.005058	0.971685	0.013720	0.007288	0.007308
501	0.005058	0.972252	0.013505	0.007120	0.007123
502	0.005061	0.971486	0.014448	0.007147	0.006919
503	0.005064	0.970842	0.014763	0.007298	0.007097
504	0.005064	0.972516	0.013264	0.007180	0.007039
505	0.005064	0.972620	0.013210	0.007023	0.007147
506	0.005068	0.971711	0.013868	0.007197	0.007224
507	0.005068	0.971446	0.014002	0.006912	0.007640
508	0.005071	0.971932	0.013613	0.006835	0.007620
509	0.005074	0.970932	0.014391	0.006939	0.007737
510	0.005078	0.970963	0.014314	0.006962	0.007761
511	0.005078	0.971952	0.013284	0.007013	0.007751
512	0.005078	0.971053	0.013730	0.007224	0.007993
513	0.005078	0.971452	0.013791	0.007080	0.007677
514	0.005078	0.970724	0.014468	0.007090	0.007717
